,time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m
442,2016-03-17,218.9466666666667,195.70791666666665,97.21875,0.9658333333333333,20.904999999999998,28.09375,3.080833333333333
443,2016-03-18,230.09916666666666,231.5879166666667,76.235,1.015,20.987083333333334,27.749166666666667,3.3183333333333334
444,2016-03-19,238.17958333333334,252.84583333333333,65.45375,1.0495833333333333,21.067916666666665,28.296666666666667,3.8987499999999997
445,2016-03-20,235.23958333333334,246.24458333333334,69.52416666666666,1.0441666666666667,21.148333333333333,28.96375,4.062083333333333
446,2016-03-21,233.26791666666668,238.76666666666665,73.71291666666666,1.0354166666666667,21.225416666666668,29.346249999999998,4.3950000000000005
447,2016-03-22,234.46291666666664,241.33624999999998,72.43875,1.0433333333333332,21.30375,29.832916666666666,4.891666666666667
448,2016-03-23,199.37375,205.36666666666667,63.91958333333333,0.8958333333333334,21.378333333333334,29.76125,4.609166666666667
449,2016-03-24,232.47083333333333,238.52291666666667,73.69666666666667,1.0420833333333335,21.459999999999997,28.652083333333334,3.6616666666666666
450,2016-03-25,235.75291666666666,244.54208333333335,70.11333333333333,1.05125,21.54041666666667,28.43166666666667,3.7587499999999996
451,2016-03-26,233.5320833333333,246.88,68.77041666666666,1.0579166666666666,21.62,28.265416666666667,3.4287500000000004
452,2016-03-27,236.39583333333334,246.26,69.18666666666667,1.0591666666666668,21.698333333333334,28.096666666666668,3.7183333333333333
453,2016-03-28,230.44875000000002,236.21333333333334,75.45875,1.0483333333333333,21.774583333333336,28.67958333333333,2.7183333333333333
454,2016-03-29,223.96833333333333,211.5775,89.72291666666666,1.0166666666666668,21.85083333333333,29.098333333333333,3.2116666666666664
455,2016-03-30,235.23708333333332,250.05458333333334,66.295,1.0687499999999999,21.923333333333332,29.072916666666668,3.6233333333333335
456,2016-03-31,232.76583333333335,240.8479166666667,71.54666666666667,1.0583333333333333,21.995833333333334,29.170416666666668,3.9091666666666662
457,2016-04-01,229.94208333333333,228.98416666666665,79.05791666666667,1.0458333333333334,22.066666666666666,29.25583333333333,3.9425000000000003
458,2016-04-02,231.08,233.25041666666667,76.46875,1.0529166666666667,22.136666666666667,29.304999999999996,3.9516666666666667
459,2016-04-03,228.62291666666667,226.0716666666667,80.09916666666668,1.0429166666666667,22.204166666666666,29.372083333333332,4.034583333333333
460,2016-04-04,230.5633333333333,231.81583333333333,77.03125,1.0541666666666667,22.27,29.26,4.193333333333333
461,2016-04-05,231.35,234.51166666666666,75.39458333333333,1.0608333333333333,22.334166666666665,29.40041666666667,4.242916666666667
462,2016-04-06,224.26708333333332,212.53583333333336,88.67958333333333,1.0341666666666667,22.397499999999997,29.63416666666667,3.74625
463,2016-04-07,218.535,196.80916666666667,97.19458333333334,1.0104166666666667,22.458333333333332,29.761666666666667,3.922083333333333
464,2016-04-08,226.51958333333334,217.47916666666666,85.20833333333333,1.0420833333333335,22.51625,29.39333333333333,3.8225
465,2016-04-09,229.41666666666666,232.16166666666666,76.59208333333333,1.06625,22.574583333333333,29.31125,3.4654166666666666
466,2016-04-10,228.10208333333333,233.48291666666668,75.57333333333334,1.07,22.63,29.201666666666668,3.299166666666667
467,2016-04-11,230.48958333333334,239.72625000000002,71.36166666666666,1.0791666666666666,22.685000000000002,29.585416666666664,3.9341666666666666
468,2016-04-12,229.91666666666666,235.72291666666663,73.6075,1.0745833333333332,22.735833333333332,30.545833333333334,5.035
469,2016-04-13,227.97041666666667,232.9825,74.70041666666667,1.0708333333333333,22.78625,30.96666666666667,4.87875
470,2016-04-14,226.30708333333334,224.49041666666668,79.07666666666667,1.0574999999999999,22.834999999999997,30.83083333333333,5.365416666666667
471,2016-04-15,226.36541666666668,229.15875000000003,76.37208333333334,1.0666666666666667,22.88083333333333,30.52,4.24125
472,2016-04-16,228.50041666666667,226.32583333333332,78.0625,1.0654166666666667,22.92458333333333,30.271666666666665,5.144166666666667
473,2016-04-17,228.36791666666667,229.11125,75.92541666666666,1.0683333333333334,22.965833333333336,30.202916666666667,4.7325
474,2016-04-18,224.9054166666667,220.8175,81.61291666666666,1.0625,23.004583333333333,30.252916666666668,4.383333333333334
475,2016-04-19,227.0091666666667,227.65208333333337,76.86666666666666,1.0729166666666667,23.040833333333335,30.015416666666667,4.284583333333333
476,2016-04-20,224.71416666666667,228.79125,75.89,1.0762500000000002,23.074583333333333,30.73625,4.61125
477,2016-04-21,229.56291666666667,239.37041666666667,68.77583333333334,1.0904166666666666,23.104166666666668,30.86916666666667,5.6525
478,2016-04-22,229.6258333333333,242.0666666666667,66.56125,1.0945833333333332,23.130416666666665,31.40041666666667,5.72625
479,2016-04-23,227.1016666666667,236.87750000000003,69.47791666666667,1.0883333333333334,23.153333333333332,31.792083333333334,5.779166666666666
