time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20141231:2346,0.0,0.0,0.0,0.0,0.0,22.68,1.38,0.0
20150101:0046,0.0,0.0,0.0,0.0,0.0,22.59,1.66,0.0
20150101:0146,18.15,0.0,36.37,0.13,8.97,23.21,1.66,0.0
20150101:0246,199.5,83.17,180.83,0.81,21.79,24.41,1.59,0.0
20150101:0346,218.93,32.95,256.0,0.97,33.73,25.3,1.24,0.0
20150101:0446,616.9,647.07,185.65,2.43,44.08,25.98,0.69,0.0
20150101:0546,331.59,54.49,383.85,1.47,51.51,26.72,0.76,0.0
20150101:0646,201.63,1.15,269.37,0.93,54.14,27.48,1.52,0.0
20150101:0746,44.43,0.0,72.74,0.25,51.0,27.83,1.93,0.0
20150101:0846,571.85,515.04,240.9,2.25,43.22,28.0,2.14,0.0
20150101:0946,266.77,82.07,268.57,1.13,32.68,27.83,2.28,0.0
20150101:1046,290.7,262.7,122.42,1.05,20.64,27.3,2.48,0.0
20150101:1146,33.45,10.44,49.38,0.19,7.75,26.5,2.34,0.0
20150101:1246,0.0,0.0,0.0,0.0,0.0,25.63,2.34,0.0
20150101:1346,0.0,0.0,0.0,0.0,0.0,25.16,2.34,0.0
20150101:1446,0.0,0.0,0.0,0.0,0.0,24.93,2.34,0.0
20150101:1546,0.0,0.0,0.0,0.0,0.0,24.8,2.48,0.0
20150101:1646,0.0,0.0,0.0,0.0,0.0,24.7,2.48,0.0
20150101:1746,0.0,0.0,0.0,0.0,0.0,24.54,2.48,0.0
20150101:1846,0.0,0.0,0.0,0.0,0.0,24.6,2.69,0.0
20150101:1946,0.0,0.0,0.0,0.0,0.0,24.54,2.41,0.0
20150101:2046,0.0,0.0,0.0,0.0,0.0,24.44,2.34,0.0
20150101:2146,0.0,0.0,0.0,0.0,0.0,24.33,2.41,0.0
20150101:2246,0.0,0.0,0.0,0.0,0.0,23.62,2.34,0.0
20150101:2346,0.0,0.0,0.0,0.0,0.0,23.63,2.34,0.0
20150102:0046,0.0,0.0,0.0,0.0,0.0,23.57,2.28,0.0
20150102:0146,99.06,83.34,68.17,0.36,8.89,24.11,2.07,0.0
20150102:0246,340.78,331.31,112.23,1.18,21.73,25.13,2.34,0.0
20150102:0346,496.72,467.16,175.55,1.83,33.7,25.9,2.28,0.0
20150102:0446,620.15,610.28,205.42,2.39,44.08,26.73,2.41,0.0
20150102:0546,652.11,579.4,284.72,2.59,51.55,27.4,2.69,0.0
20150102:0646,705.67,696.86,245.16,2.81,54.23,27.9,2.9,0.0
20150102:0746,682.0,672.1,231.44,2.69,51.12,27.7,3.03,0.0
20150102:0846,592.47,548.58,224.72,2.29,43.36,27.72,3.24,0.0
20150102:0946,488.61,477.4,153.28,1.81,32.82,27.48,3.38,0.0
20150102:1046,286.3,245.29,131.28,1.04,20.77,26.99,3.59,0.0
20150102:1146,72.39,60.4,58.4,0.29,7.88,26.36,3.03,0.0
20150102:1246,0.0,0.0,0.0,0.0,0.0,25.7,2.83,0.0
20150102:1346,0.0,0.0,0.0,0.0,0.0,25.44,2.76,0.0
20150102:1446,0.0,0.0,0.0,0.0,0.0,25.2,2.76,0.0
20150102:1546,0.0,0.0,0.0,0.0,0.0,25.09,2.69,0.0
20150102:1646,0.0,0.0,0.0,0.0,0.0,25.06,2.69,0.0
20150102:1746,0.0,0.0,0.0,0.0,0.0,24.96,2.62,0.0
20150102:1846,0.0,0.0,0.0,0.0,0.0,24.76,2.69,0.0
20150102:1946,0.0,0.0,0.0,0.0,0.0,24.68,2.41,0.0
20150102:2046,0.0,0.0,0.0,0.0,0.0,24.37,2.28,0.0
20150102:2146,0.0,0.0,0.0,0.0,0.0,24.16,2.28,0.0
20150102:2246,0.0,0.0,0.0,0.0,0.0,24.17,2.0,0.0
20150102:2346,0.0,0.0,0.0,0.0,0.0,24.13,1.86,0.0
20150103:0046,0.0,0.0,0.0,0.0,0.0,24.0,1.86,0.0
20150103:0146,88.32,67.83,68.61,0.34,8.83,24.37,1.86,0.0
20150103:0246,309.76,263.92,140.36,1.1,21.68,25.02,1.93,0.0
20150103:0346,351.1,176.78,277.79,1.4,33.67,25.57,1.72,0.0
20150103:0446,582.94,520.49,250.05,2.28,44.08,26.14,1.59,0.0
20150103:0546,653.0,604.59,272.69,2.62,51.59,26.91,1.66,0.0
20150103:0646,719.51,754.04,213.99,2.88,54.33,27.43,2.34,0.0
20150103:0746,686.98,700.53,216.91,2.73,51.24,27.61,2.48,0.0
20150103:0846,498.74,330.75,320.05,1.99,43.49,27.45,2.55,0.0
20150103:0946,468.1,427.48,179.95,1.76,32.95,27.14,2.48,0.0
20150103:1046,295.79,266.79,123.41,1.07,20.9,26.74,2.55,0.0
20150103:1146,74.43,63.34,58.56,0.3,8.0,26.5,2.28,0.0
20150103:1246,0.0,0.0,0.0,0.0,0.0,25.84,1.86,0.0
20150103:1346,0.0,0.0,0.0,0.0,0.0,25.51,1.45,0.0
20150103:1446,0.0,0.0,0.0,0.0,0.0,24.98,1.1,0.0
20150103:1546,0.0,0.0,0.0,0.0,0.0,24.42,1.1,0.0
20150103:1646,0.0,0.0,0.0,0.0,0.0,24.74,0.76,0.0
20150103:1746,0.0,0.0,0.0,0.0,0.0,24.49,0.76,0.0
20150103:1846,0.0,0.0,0.0,0.0,0.0,23.4,1.52,0.0
20150103:1946,0.0,0.0,0.0,0.0,0.0,23.47,1.59,0.0
20150103:2046,0.0,0.0,0.0,0.0,0.0,23.47,1.72,0.0
20150103:2146,0.0,0.0,0.0,0.0,0.0,23.38,1.72,0.0
20150103:2246,0.0,0.0,0.0,0.0,0.0,23.45,1.79,0.0
20150103:2346,0.0,0.0,0.0,0.0,0.0,23.4,1.59,0.0
20150104:0046,0.0,0.0,0.0,0.0,0.0,23.36,1.17,0.0
20150104:0146,85.38,64.44,68.26,0.33,8.76,24.26,0.69,0.0
20150104:0246,273.81,201.82,160.33,1.02,21.63,25.52,0.69,0.0
20150104:0346,494.19,492.31,160.88,1.86,33.64,26.2,0.76,0.0
20150104:0446,568.72,499.04,259.88,2.25,44.09,26.72,1.1,0.0
20150104:0546,624.93,532.49,307.27,2.53,51.65,27.22,1.52,0.0
20150104:0646,605.87,444.11,364.07,2.48,54.43,27.73,2.07,0.0
20150104:0746,709.35,785.4,168.42,2.82,51.38,27.95,2.34,0.0
20150104:0846,643.52,718.17,132.35,2.49,43.64,27.72,2.55,0.0
20150104:0946,498.76,508.75,138.41,1.85,33.09,27.53,2.83,0.0
20150104:1046,308.82,294.64,112.27,1.11,21.03,27.26,3.1,0.0
20150104:1146,76.61,66.23,58.7,0.31,8.13,26.58,2.83,0.0
20150104:1246,0.0,0.0,0.0,0.0,0.0,25.82,2.62,0.0
20150104:1346,0.0,0.0,0.0,0.0,0.0,25.27,2.62,0.0
20150104:1446,0.0,0.0,0.0,0.0,0.0,24.94,2.48,0.0
20150104:1546,0.0,0.0,0.0,0.0,0.0,24.74,2.41,0.0
20150104:1646,0.0,0.0,0.0,0.0,0.0,24.46,2.41,0.0
20150104:1746,0.0,0.0,0.0,0.0,0.0,24.2,2.41,0.0
20150104:1846,0.0,0.0,0.0,0.0,0.0,24.06,2.28,0.0
20150104:1946,0.0,0.0,0.0,0.0,0.0,23.79,2.14,0.0
20150104:2046,0.0,0.0,0.0,0.0,0.0,23.42,2.0,0.0
20150104:2146,0.0,0.0,0.0,0.0,0.0,23.06,1.86,0.0
20150104:2246,0.0,0.0,0.0,0.0,0.0,22.69,1.86,0.0
20150104:2346,0.0,0.0,0.0,0.0,0.0,22.69,1.86,0.0
20150105:0046,0.0,0.0,0.0,0.0,0.0,22.49,1.93,0.0
20150105:0146,76.28,52.31,66.75,0.31,8.7,23.41,1.86,0.0
20150105:0246,220.58,112.07,178.38,0.87,21.59,24.94,2.14,0.0
20150105:0346,434.46,320.3,237.96,1.64,33.62,26.26,3.03,0.0
20150105:0446,571.93,468.16,274.56,2.22,44.1,27.14,3.38,0.0
20150105:0546,657.65,579.61,285.56,2.6,51.71,27.69,3.45,0.0
20150105:0646,746.42,815.22,179.05,2.95,54.54,27.89,3.38,0.0
20150105:0746,730.48,817.11,150.17,2.86,51.52,28.16,3.66,0.0
20150105:0846,634.33,656.86,169.65,2.43,43.78,28.01,3.86,0.0
20150105:0946,495.52,482.89,154.14,1.83,33.24,27.66,4.07,0.0
20150105:1046,303.82,275.92,122.41,1.09,21.17,27.04,3.86,0.0
20150105:1146,79.8,69.07,59.96,0.32,8.26,26.31,3.38,0.0
20150105:1246,0.0,0.0,0.0,0.0,0.0,25.32,3.17,0.0
20150105:1346,0.0,0.0,0.0,0.0,0.0,24.84,2.9,0.0
20150105:1446,0.0,0.0,0.0,0.0,0.0,24.46,2.83,0.0
20150105:1546,0.0,0.0,0.0,0.0,0.0,24.23,2.83,0.0
20150105:1646,0.0,0.0,0.0,0.0,0.0,24.03,2.83,0.0
20150105:1746,0.0,0.0,0.0,0.0,0.0,23.86,2.9,0.0
20150105:1846,0.0,0.0,0.0,0.0,0.0,23.91,2.9,0.0
20150105:1946,0.0,0.0,0.0,0.0,0.0,23.82,2.83,0.0
20150105:2046,0.0,0.0,0.0,0.0,0.0,23.69,2.69,0.0
20150105:2146,0.0,0.0,0.0,0.0,0.0,23.49,2.48,0.0
20150105:2246,0.0,0.0,0.0,0.0,0.0,23.23,2.14,0.0
20150105:2346,0.0,0.0,0.0,0.0,0.0,22.58,1.66,0.0
20150106:0046,0.0,0.0,0.0,0.0,0.0,22.02,1.45,0.0
20150106:0146,83.91,62.83,67.06,0.33,8.64,22.62,1.17,0.0
20150106:0246,192.6,79.06,177.41,0.79,21.55,24.97,1.38,0.0
20150106:0346,339.5,160.66,279.61,1.37,33.61,25.57,1.59,0.0
20150106:0446,522.7,373.82,312.25,2.08,44.12,26.35,1.72,0.0
20150106:0546,539.09,322.57,387.89,2.22,51.77,26.83,2.0,0.0
20150106:0646,711.47,728.49,229.38,2.86,54.65,27.09,2.14,0.0
20150106:0746,713.43,788.85,168.29,2.84,51.66,27.42,2.34,0.0
20150106:0846,632.34,671.4,163.26,2.45,43.94,27.27,2.41,0.0
20150106:0946,485.78,467.86,163.42,1.82,33.38,27.28,2.48,0.0
20150106:1046,303.6,277.85,122.32,1.1,21.3,26.9,2.55,0.0
20150106:1146,81.8,71.86,60.06,0.33,8.39,26.15,2.28,0.0
20150106:1246,0.0,0.0,0.0,0.0,0.0,25.24,2.41,0.0
20150106:1346,0.0,0.0,0.0,0.0,0.0,24.61,2.55,0.0
20150106:1446,0.0,0.0,0.0,0.0,0.0,24.21,2.62,0.0
20150106:1546,0.0,0.0,0.0,0.0,0.0,23.94,2.48,0.0
20150106:1646,0.0,0.0,0.0,0.0,0.0,23.73,2.28,0.0
20150106:1746,0.0,0.0,0.0,0.0,0.0,23.43,2.0,0.0
20150106:1846,0.0,0.0,0.0,0.0,0.0,22.9,1.66,0.0
20150106:1946,0.0,0.0,0.0,0.0,0.0,22.37,1.59,0.0
20150106:2046,0.0,0.0,0.0,0.0,0.0,22.14,1.45,0.0
20150106:2146,0.0,0.0,0.0,0.0,0.0,22.17,1.31,0.0
20150106:2246,0.0,0.0,0.0,0.0,0.0,22.12,1.24,0.0
20150106:2346,0.0,0.0,0.0,0.0,0.0,21.07,1.52,0.0
20150107:0046,0.0,0.0,0.0,0.0,0.0,21.37,1.72,0.0
20150107:0146,51.05,20.95,61.7,0.24,8.59,22.31,1.86,0.0
20150107:0246,161.96,44.77,171.2,0.69,21.51,23.06,2.0,0.0
20150107:0346,505.15,490.13,160.68,1.85,33.6,24.54,2.07,0.0
20150107:0446,577.08,498.09,260.71,2.26,44.14,26.05,1.86,0.0
20150107:0546,664.69,630.85,260.31,2.67,51.85,27.12,1.93,0.0
20150107:0646,595.65,414.51,377.96,2.45,54.78,27.43,2.07,0.0
20150107:0746,621.74,507.45,317.16,2.51,51.82,27.67,2.48,0.0
20150107:0846,615.72,612.52,196.71,2.39,44.09,27.59,2.76,0.0
20150107:0946,478.94,443.26,176.64,1.8,33.53,27.42,2.97,0.0
20150107:1046,297.88,259.23,132.27,1.09,21.44,26.89,3.03,0.0
20150107:1146,84.83,74.61,61.29,0.34,8.52,26.12,2.69,0.0
20150107:1246,0.0,0.0,0.0,0.0,0.0,25.26,2.69,0.0
20150107:1346,0.0,0.0,0.0,0.0,0.0,24.83,2.9,0.0
20150107:1446,0.0,0.0,0.0,0.0,0.0,24.51,3.17,0.0
20150107:1546,0.0,0.0,0.0,0.0,0.0,24.41,3.38,0.0
20150107:1646,0.0,0.0,0.0,0.0,0.0,24.23,3.31,0.0
20150107:1746,0.0,0.0,0.0,0.0,0.0,24.08,2.9,0.0
20150107:1846,0.0,0.0,0.0,0.0,0.0,23.9,2.14,0.0
20150107:1946,0.0,0.0,0.0,0.0,0.0,23.28,1.45,0.0
20150107:2046,0.0,0.0,0.0,0.0,0.0,23.41,0.97,0.0
20150107:2146,0.0,0.0,0.0,0.0,0.0,23.69,0.83,0.0
20150107:2246,0.0,0.0,0.0,0.0,0.0,23.79,0.69,0.0
20150107:2346,0.0,0.0,0.0,0.0,0.0,23.79,0.62,0.0
20150108:0046,0.0,0.0,0.0,0.0,0.0,23.49,0.48,0.0
20150108:0146,63.66,36.68,64.83,0.28,8.54,23.23,0.14,0.0
20150108:0246,261.82,181.55,164.16,0.98,21.48,23.75,0.07,0.0
20150108:0346,475.3,444.78,183.25,1.8,33.59,24.93,0.28,0.0
20150108:0446,577.32,520.03,249.67,2.28,44.18,25.88,0.97,0.0
20150108:0546,471.2,210.13,411.63,1.99,51.93,26.49,1.31,0.0
20150108:0646,388.7,89.49,420.44,1.69,54.91,27.22,1.93,0.0
20150108:0746,673.42,654.19,246.42,2.7,51.98,27.32,2.21,0.0
20150108:0846,382.28,136.11,361.97,1.61,44.25,27.26,2.34,0.0
20150108:0946,294.27,104.08,279.86,1.23,33.69,27.12,2.34,0.0
20150108:1046,300.41,266.28,130.24,1.1,21.59,26.84,2.14,0.0
20150108:1146,87.58,77.3,62.5,0.35,8.65,26.22,1.93,0.0
20150108:1246,0.0,0.0,0.0,0.0,0.0,25.42,2.14,0.0
20150108:1346,0.0,0.0,0.0,0.0,0.0,25.01,2.55,0.0
20150108:1446,0.0,0.0,0.0,0.0,0.0,24.68,3.03,0.0
20150108:1546,0.0,0.0,0.0,0.0,0.0,24.5,3.17,0.0
20150108:1646,0.0,0.0,0.0,0.0,0.0,24.42,2.9,0.0
20150108:1746,0.0,0.0,0.0,0.0,0.0,24.18,2.41,0.0
20150108:1846,0.0,0.0,0.0,0.0,0.0,23.72,1.93,0.0
20150108:1946,0.0,0.0,0.0,0.0,0.0,22.96,1.38,0.0
20150108:2046,0.0,0.0,0.0,0.0,0.0,23.25,0.97,0.0
20150108:2146,0.0,0.0,0.0,0.0,0.0,23.41,0.9,0.0
20150108:2246,0.0,0.0,0.0,0.0,0.0,22.57,1.03,0.0
20150108:2346,0.0,0.0,0.0,0.0,0.0,22.23,1.1,0.0
20150109:0046,0.0,0.0,0.0,0.0,0.0,21.88,1.17,0.0
20150109:0146,71.47,47.17,65.17,0.29,8.49,22.28,1.03,0.0
20150109:0246,272.35,198.47,158.96,1.01,21.45,24.49,1.17,0.0
20150109:0346,462.02,394.62,206.12,1.74,33.59,25.44,1.45,0.0
20150109:0446,497.12,315.53,332.81,1.99,44.21,25.98,1.93,0.0
20150109:0546,544.41,323.03,388.7,2.22,52.02,26.44,2.55,0.0
20150109:0646,593.24,385.21,389.73,2.41,55.05,26.83,3.31,0.0
20150109:0746,473.33,196.43,413.46,1.96,52.14,26.42,3.79,0.0
20150109:0846,437.89,202.2,358.08,1.78,44.42,26.05,4.07,0.0
20150109:0946,241.99,48.98,265.86,1.04,33.84,26.19,4.34,0.0
20150109:1046,238.18,140.47,171.4,0.92,21.73,25.84,4.28,0.0
20150109:1146,81.79,65.26,64.34,0.33,8.78,25.27,3.86,0.0
20150109:1246,0.0,0.0,0.0,0.0,0.0,24.57,3.72,0.0
20150109:1346,0.0,0.0,0.0,0.0,0.0,24.2,3.66,0.0
20150109:1446,0.0,0.0,0.0,0.0,0.0,24.0,3.52,0.0
20150109:1546,0.0,0.0,0.0,0.0,0.0,23.7,3.24,0.0
20150109:1646,0.0,0.0,0.0,0.0,0.0,23.5,2.97,0.0
20150109:1746,0.0,0.0,0.0,0.0,0.0,23.33,2.62,0.0
20150109:1846,0.0,0.0,0.0,0.0,0.0,23.18,2.48,0.0
20150109:1946,0.0,0.0,0.0,0.0,0.0,22.69,2.14,0.0
20150109:2046,0.0,0.0,0.0,0.0,0.0,21.95,1.86,0.0
20150109:2146,0.0,0.0,0.0,0.0,0.0,20.97,1.79,0.0
20150109:2246,0.0,0.0,0.0,0.0,0.0,20.29,1.86,0.0
20150109:2346,0.0,0.0,0.0,0.0,0.0,19.71,2.0,0.0
20150110:0046,0.0,0.0,0.0,0.0,0.0,19.48,2.21,0.0
20150110:0146,89.01,71.6,64.99,0.33,8.45,20.57,2.28,0.0
20150110:0246,313.61,273.11,131.89,1.1,21.43,23.34,2.55,0.0
20150110:0346,514.81,507.08,151.03,1.87,33.59,24.92,3.1,0.0
20150110:0446,658.94,694.98,156.43,2.49,44.25,26.1,3.93,0.0
20150110:0546,748.98,826.52,151.34,2.89,52.11,26.73,4.41,0.0
20150110:0646,774.42,851.1,161.65,3.01,55.19,26.82,4.69,0.0
20150110:0746,745.43,810.24,159.44,2.88,52.31,26.91,4.83,0.0
20150110:0846,648.02,654.67,176.6,2.46,44.59,26.73,5.03,0.0
20150110:0946,504.37,475.91,164.12,1.86,34.0,26.39,5.17,0.0
20150110:1046,312.22,275.12,129.19,1.12,21.87,25.85,4.9,0.0
20150110:1146,92.39,82.55,62.62,0.36,8.91,25.04,4.14,0.0
20150110:1246,0.0,0.0,0.0,0.0,0.0,24.09,3.66,0.0
20150110:1346,0.0,0.0,0.0,0.0,0.0,23.59,3.38,0.0
20150110:1446,0.0,0.0,0.0,0.0,0.0,23.3,3.24,0.0
20150110:1546,0.0,0.0,0.0,0.0,0.0,23.13,3.24,0.0
20150110:1646,0.0,0.0,0.0,0.0,0.0,22.83,3.24,0.0
20150110:1746,0.0,0.0,0.0,0.0,0.0,22.67,3.17,0.0
20150110:1846,0.0,0.0,0.0,0.0,0.0,22.92,2.9,0.0
20150110:1946,0.0,0.0,0.0,0.0,0.0,22.92,2.76,0.0
20150110:2046,0.0,0.0,0.0,0.0,0.0,22.58,2.76,0.0
20150110:2146,0.0,0.0,0.0,0.0,0.0,22.44,2.69,0.0
20150110:2246,0.0,0.0,0.0,0.0,0.0,22.29,2.69,0.0
20150110:2346,0.0,0.0,0.0,0.0,0.0,22.03,2.62,0.0
20150111:0046,0.0,0.0,0.0,0.0,0.0,21.73,2.69,0.0
20150111:0146,95.51,85.53,62.09,0.35,8.41,22.08,2.41,0.0
20150111:0246,312.79,272.79,131.83,1.1,21.41,23.81,2.69,0.0
20150111:0346,500.07,461.73,173.79,1.82,33.6,25.04,3.86,0.0
20150111:0446,594.99,498.82,260.35,2.26,44.3,25.5,4.62,0.0
20150111:0546,745.06,798.17,168.37,2.87,52.21,25.98,4.62,0.0
20150111:0646,712.95,672.85,252.61,2.79,55.34,26.15,4.48,0.0
20150111:0746,737.53,781.94,177.44,2.86,52.49,26.22,4.41,0.0
20150111:0846,647.92,656.24,177.58,2.47,44.76,26.22,4.34,0.0
20150111:0946,498.15,459.69,174.35,1.85,34.16,26.0,4.34,0.0
20150111:1046,301.68,251.54,139.85,1.1,22.02,25.71,4.28,0.0
20150111:1146,86.9,70.65,65.65,0.35,9.04,24.95,3.86,0.0
20150111:1246,0.0,0.0,0.0,0.0,0.0,23.97,3.93,0.0
20150111:1346,0.0,0.0,0.0,0.0,0.0,23.4,3.93,0.0
20150111:1446,0.0,0.0,0.0,0.0,0.0,23.05,3.86,0.0
20150111:1546,0.0,0.0,0.0,0.0,0.0,22.83,3.72,0.0
20150111:1646,0.0,0.0,0.0,0.0,0.0,22.68,3.66,0.0
20150111:1746,0.0,0.0,0.0,0.0,0.0,22.7,3.45,0.0
20150111:1846,0.0,0.0,0.0,0.0,0.0,22.57,3.38,0.0
20150111:1946,0.0,0.0,0.0,0.0,0.0,22.5,3.24,0.0
20150111:2046,0.0,0.0,0.0,0.0,0.0,22.39,3.17,0.0
20150111:2146,0.0,0.0,0.0,0.0,0.0,22.26,3.24,0.0
20150111:2246,0.0,0.0,0.0,0.0,0.0,22.22,3.24,0.0
20150111:2346,0.0,0.0,0.0,0.0,0.0,22.24,3.24,0.0
20150112:0046,0.0,0.0,0.0,0.0,0.0,22.2,3.24,0.0
20150112:0146,45.87,17.44,58.23,0.23,8.37,22.43,3.1,0.0
20150112:0246,314.01,272.45,131.77,1.1,21.4,23.56,3.45,0.0
20150112:0346,520.36,506.04,150.85,1.87,33.62,24.89,4.83,0.0
20150112:0446,677.07,721.79,140.16,2.52,44.36,25.35,5.31,0.0
20150112:0546,759.04,828.52,150.09,2.9,52.32,25.73,5.24,0.0
20150112:0646,772.66,823.28,179.57,2.99,55.5,26.18,5.1,0.0
20150112:0746,751.29,813.24,159.25,2.9,52.67,26.48,5.17,0.0
20150112:0846,658.07,670.51,171.19,2.49,44.94,26.22,5.17,0.0
20150112:0946,511.86,488.68,159.78,1.88,34.32,25.89,5.03,0.0
20150112:1046,316.09,278.75,130.07,1.14,22.17,25.54,4.55,0.0
20150112:1146,98.09,87.62,64.96,0.38,9.18,24.98,4.07,0.0
20150112:1246,0.0,0.0,0.0,0.0,0.0,24.19,3.79,0.0
20150112:1346,0.0,0.0,0.0,0.0,0.0,23.53,3.66,0.0
20150112:1446,0.0,0.0,0.0,0.0,0.0,23.34,3.45,0.0
20150112:1546,0.0,0.0,0.0,0.0,0.0,22.99,3.45,0.0
20150112:1646,0.0,0.0,0.0,0.0,0.0,22.79,3.38,0.0
20150112:1746,0.0,0.0,0.0,0.0,0.0,22.64,3.17,0.0
20150112:1846,0.0,0.0,0.0,0.0,0.0,22.59,2.97,0.0
20150112:1946,0.0,0.0,0.0,0.0,0.0,22.37,2.83,0.0
20150112:2046,0.0,0.0,0.0,0.0,0.0,22.04,2.9,0.0
20150112:2146,0.0,0.0,0.0,0.0,0.0,21.67,3.03,0.0
20150112:2246,0.0,0.0,0.0,0.0,0.0,21.32,3.1,0.0
20150112:2346,0.0,0.0,0.0,0.0,0.0,21.08,3.1,0.0
20150113:0046,0.0,0.0,0.0,0.0,0.0,20.94,2.97,0.0
20150113:0146,94.19,83.61,61.92,0.34,8.34,21.3,2.48,0.0
20150113:0246,320.89,293.01,121.57,1.12,21.39,23.17,2.41,0.0
20150113:0346,531.45,561.1,119.78,1.93,33.64,24.98,2.97,0.0
20150113:0446,668.04,721.07,141.17,2.52,44.42,26.04,4.07,0.0
20150113:0546,760.62,859.94,131.69,2.94,52.43,26.55,4.55,0.0
20150113:0646,683.03,575.75,313.75,2.71,55.67,26.9,4.41,0.0
20150113:0746,702.85,673.94,240.84,2.75,52.86,27.06,4.55,0.0
20150113:0846,653.71,673.16,170.0,2.5,45.12,26.92,4.55,0.0
20150113:0946,511.18,491.44,159.68,1.89,34.49,26.57,4.69,0.0
20150113:1046,318.01,280.52,131.05,1.15,22.32,25.94,4.76,0.0
20150113:1146,101.2,91.67,65.13,0.39,9.31,25.03,4.41,0.0
20150113:1246,0.0,0.0,0.0,0.0,0.0,24.0,4.28,0.0
20150113:1346,0.0,0.0,0.0,0.0,0.0,23.39,3.93,0.0
20150113:1446,0.0,0.0,0.0,0.0,0.0,23.05,3.66,0.0
20150113:1546,0.0,0.0,0.0,0.0,0.0,22.81,3.45,0.0
20150113:1646,0.0,0.0,0.0,0.0,0.0,22.65,3.31,0.0
20150113:1746,0.0,0.0,0.0,0.0,0.0,22.42,3.24,0.0
20150113:1846,0.0,0.0,0.0,0.0,0.0,22.4,3.31,0.0
20150113:1946,0.0,0.0,0.0,0.0,0.0,22.29,3.17,0.0
20150113:2046,0.0,0.0,0.0,0.0,0.0,22.08,2.97,0.0
20150113:2146,0.0,0.0,0.0,0.0,0.0,21.85,2.76,0.0
20150113:2246,0.0,0.0,0.0,0.0,0.0,21.51,2.62,0.0
20150113:2346,0.0,0.0,0.0,0.0,0.0,21.18,2.41,0.0
20150114:0046,0.0,0.0,0.0,0.0,0.0,20.64,2.14,0.0
20150114:0146,93.84,83.49,61.92,0.34,8.31,21.27,1.66,0.0
20150114:0246,299.64,250.78,139.28,1.07,21.38,23.78,1.79,0.0
20150114:0346,515.59,514.53,146.47,1.89,33.66,24.85,2.76,0.0
20150114:0446,509.45,323.39,330.71,2.01,44.48,25.54,3.38,0.0
20150114:0546,731.18,770.66,186.12,2.85,52.55,25.81,3.66,0.0
20150114:0646,632.32,449.65,369.35,2.53,55.84,26.46,4.34,0.0
20150114:0746,733.65,758.95,194.01,2.85,53.05,26.48,4.69,0.0
20150114:0846,659.12,674.62,170.97,2.51,45.3,26.35,4.9,0.0
20150114:0946,508.54,475.21,169.94,1.88,34.65,26.08,4.97,0.0
20150114:1046,322.39,288.57,127.9,1.17,22.47,25.63,4.69,0.0
20150114:1146,103.31,95.66,64.13,0.4,9.45,24.85,3.86,0.0
20150114:1246,0.0,0.0,0.0,0.0,0.0,23.8,3.52,0.0
20150114:1346,0.0,0.0,0.0,0.0,0.0,23.18,3.38,0.0
20150114:1446,0.0,0.0,0.0,0.0,0.0,22.77,3.31,0.0
20150114:1546,0.0,0.0,0.0,0.0,0.0,22.45,3.1,0.0
20150114:1646,0.0,0.0,0.0,0.0,0.0,22.18,2.83,0.0
20150114:1746,0.0,0.0,0.0,0.0,0.0,21.92,2.55,0.0
20150114:1846,0.0,0.0,0.0,0.0,0.0,22.02,2.69,0.0
20150114:1946,0.0,0.0,0.0,0.0,0.0,22.0,2.41,0.0
20150114:2046,0.0,0.0,0.0,0.0,0.0,21.48,2.28,0.0
20150114:2146,0.0,0.0,0.0,0.0,0.0,20.86,2.14,0.0
20150114:2246,0.0,0.0,0.0,0.0,0.0,20.43,2.0,0.0
20150114:2346,0.0,0.0,0.0,0.0,0.0,20.23,1.79,0.0
20150115:0046,0.0,0.0,0.0,0.0,0.0,20.0,1.86,0.0
20150115:0146,93.03,83.34,60.75,0.34,8.28,20.57,1.86,0.0
20150115:0246,309.44,269.94,131.43,1.1,21.38,23.34,2.0,0.0
20150115:0346,400.47,258.15,256.8,1.55,33.69,24.88,2.07,0.0
20150115:0446,635.23,671.73,169.76,2.47,44.55,26.05,1.79,0.0
20150115:0546,686.9,701.04,226.8,2.78,52.68,26.69,1.59,0.0
20150115:0646,444.99,147.07,437.71,1.91,56.02,27.28,2.0,0.0
20150115:0746,552.27,335.67,390.22,2.28,53.25,27.43,2.62,0.0
20150115:0846,615.56,569.91,228.77,2.39,45.49,27.03,3.72,0.0
20150115:0946,517.73,503.97,156.39,1.92,34.82,26.54,4.48,0.0
20150115:1046,324.58,290.28,128.88,1.18,22.62,25.82,4.9,0.0
20150115:1146,97.47,80.91,69.24,0.39,9.58,24.93,4.41,0.0
20150115:1246,0.0,0.0,0.0,0.0,0.0,24.02,4.34,0.0
20150115:1346,0.0,0.0,0.0,0.0,0.0,23.58,4.28,0.0
20150115:1446,0.0,0.0,0.0,0.0,0.0,23.45,4.21,0.0
20150115:1546,0.0,0.0,0.0,0.0,0.0,23.34,4.07,0.0
20150115:1646,0.0,0.0,0.0,0.0,0.0,23.22,3.86,0.0
20150115:1746,0.0,0.0,0.0,0.0,0.0,23.18,3.59,0.0
20150115:1846,0.0,0.0,0.0,0.0,0.0,23.61,3.38,0.0
20150115:1946,0.0,0.0,0.0,0.0,0.0,23.36,3.03,0.0
