time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20160218:1846,0.0,0.0,0.0,0.0,0.0,24.55,2.14,0.0
20160218:1946,0.0,0.0,0.0,0.0,0.0,24.15,2.14,0.0
20160218:2046,0.0,0.0,0.0,0.0,0.0,23.81,2.28,0.0
20160218:2146,0.0,0.0,0.0,0.0,0.0,23.52,2.34,0.0
20160218:2246,0.0,0.0,0.0,0.0,0.0,23.38,2.28,0.0
20160218:2346,0.0,0.0,0.0,0.0,0.0,23.3,2.21,0.0
20160219:0046,0.0,0.0,0.0,0.0,0.0,23.19,2.21,0.0
20160219:0146,89.23,78.15,63.89,0.39,9.85,23.85,2.07,0.0
20160219:0246,308.01,273.65,130.71,1.21,23.89,26.29,2.41,0.0
20160219:0346,506.03,493.59,162.07,2.01,37.46,28.07,3.31,0.0
20160219:0446,584.27,481.89,285.31,2.41,50.1,29.19,3.52,0.0
20160219:0546,725.05,757.6,213.17,3.04,60.55,30.09,3.72,0.0
20160219:0646,779.25,882.89,169.42,3.31,65.79,30.17,3.72,0.0
20160219:0746,762.68,867.16,157.78,3.22,62.66,30.42,3.93,0.0
20160219:0846,689.86,770.38,144.2,2.87,53.22,30.33,4.0,0.0
20160219:0946,557.17,590.65,135.94,2.26,41.0,29.98,4.0,0.0
20160219:1046,368.25,359.21,122.39,1.47,27.62,29.37,4.07,0.0
20160219:1146,141.07,127.33,82.04,0.62,13.68,28.47,4.0,0.0
20160219:1246,0.0,0.0,0.0,0.0,0.0,27.43,3.45,0.0
20160219:1346,0.0,0.0,0.0,0.0,0.0,26.8,3.24,0.0
20160219:1446,0.0,0.0,0.0,0.0,0.0,26.42,3.03,0.0
20160219:1546,0.0,0.0,0.0,0.0,0.0,26.24,2.76,0.0
20160219:1646,0.0,0.0,0.0,0.0,0.0,26.04,2.41,0.0
20160219:1746,0.0,0.0,0.0,0.0,0.0,25.86,2.14,0.0
20160219:1846,0.0,0.0,0.0,0.0,0.0,25.48,2.0,0.0
20160219:1946,0.0,0.0,0.0,0.0,0.0,25.07,1.86,0.0
20160219:2046,0.0,0.0,0.0,0.0,0.0,24.42,1.66,0.0
20160219:2146,0.0,0.0,0.0,0.0,0.0,24.21,1.24,0.0
20160219:2246,0.0,0.0,0.0,0.0,0.0,24.89,0.9,0.0
20160219:2346,0.0,0.0,0.0,0.0,0.0,24.32,0.97,0.0
20160220:0046,0.0,0.0,0.0,0.0,0.0,23.32,1.24,0.0
20160220:0146,91.14,80.11,64.92,0.4,9.97,23.97,1.1,0.0
20160220:0246,322.28,319.13,109.36,1.27,24.03,26.77,1.03,0.0
20160220:0346,519.87,573.74,116.2,2.11,37.64,28.25,1.31,0.0
20160220:0446,650.01,736.08,143.89,2.73,50.32,29.38,1.72,0.0
20160220:0546,718.09,788.72,195.44,3.09,60.85,30.35,2.21,0.0
20160220:0646,657.1,514.1,373.82,2.84,66.15,30.83,2.97,0.0
20160220:0746,740.18,805.14,196.99,3.16,62.96,31.02,3.45,0.0
20160220:0846,671.61,715.76,179.27,2.81,53.44,30.82,3.66,0.0
20160220:0946,540.18,537.82,168.73,2.21,41.16,30.41,3.86,0.0
20160220:1046,361.56,341.19,132.35,1.46,27.73,29.57,4.0,0.0
20160220:1146,142.87,131.32,80.97,0.63,13.76,28.58,3.79,0.0
20160220:1246,0.0,0.0,0.0,0.0,0.0,27.47,3.24,0.0
20160220:1346,0.0,0.0,0.0,0.0,0.0,26.82,3.17,0.0
20160220:1446,0.0,0.0,0.0,0.0,0.0,26.43,3.17,0.0
20160220:1546,0.0,0.0,0.0,0.0,0.0,26.17,3.1,0.0
20160220:1646,0.0,0.0,0.0,0.0,0.0,25.97,3.1,0.0
20160220:1746,0.0,0.0,0.0,0.0,0.0,25.81,3.03,0.0
20160220:1846,0.0,0.0,0.0,0.0,0.0,25.69,2.76,0.0
20160220:1946,0.0,0.0,0.0,0.0,0.0,25.52,2.41,0.0
20160220:2046,0.0,0.0,0.0,0.0,0.0,25.27,2.0,0.0
20160220:2146,0.0,0.0,0.0,0.0,0.0,24.86,1.66,0.0
